name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Agonkèssa,ABOMEY-CALAVI,Golo-Djigbé,6.548696,2.315507,8.0,3,90087,3,3,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Missèbô,COTONOU,5ème Arrondissement,6.362961,2.436275,6.4,4,90087,5,6,0,120.0,1,0,0,False,GOOD
Agbo Codji Sèdégbé,ABOMEY-CALAVI,Godomey,6.382409,2.320099,4.1,4,90087,17,15,2,88.2,0,0,0,False,PARTIAL
"Amahoun
",ABOMEY-CALAVI,Godomey,6.378162,2.286275,13.2,3,90087,4,3,1,75.0,0,0,0,False,PARTIAL
"Ganganzounmè
",ABOMEY-CALAVI,Godomey,6.370197,2.305203,0.7,3,90087,6,6,1,100.0,1,0,0,False,GOOD
"Gbègnigan-Midokpo
",ABOMEY-CALAVI,Godomey,6.402474,2.31816,10.5,3,90087,9,10,2,111.1,4,0,0,False,PARTIAL
"Tokpa-Zoungo-Sud
",ABOMEY-CALAVI,Abomey-Calavi,6.422988,2.34743,10.7,5,90087,7,7,0,100.0,4,0,4,True,GOOD
"Cité-la-Victoire
",ABOMEY-CALAVI,Abomey-Calavi,6.414225,2.331952,4.6,4,90087,10,10,1,100.0,-1,0,2,False,GOOD
Ahogbohoué-Cité-Eucharistie,COTONOU,13ème Arrondissement,6.374013,2.385256,49.5,1,90087,6,2,4,33.3,0,0,0,False,BROKEN
Zinvié-Agolèdji,ABOMEY-CALAVI,Zinvié,6.603832,2.337,4.9,3,90087,2,2,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Mènontin,COTONOU,9ème Arrondissement,6.391295,2.369749,2.2,5,90087,11,13,0,118.2,2,0,2,False,GOOD
Todoté,COTONOU,7ème Arrondissement,6.363334,2.419312,10.5,5,90087,12,10,3,83.3,-2,0,10,False,PARTIAL
Djissoukpa,ABOMEY-CALAVI,Golo-Djigbé,6.566644,2.288105,8.7,3,90087,2,2,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Missité-Sikê,COTONOU,7ème Arrondissement,6.377342,2.417275,9.4,3,90087,4,5,0,125.0,0,0,2,False,GOOD
Fiyégnon-Jacquot,COTONOU,12ème Arrondissement,6.352295,2.368443,6.5,4,90087,5,6,0,120.0,0,0,0,False,GOOD
Fifadji,COTONOU,9ème Arrondissement,6.393442,2.400364,1.7,4,90087,11,9,2,81.8,0,0,0,False,PARTIAL
Vodjè-Finagnon,COTONOU,11ème Arrondissement,6.372012,2.400699,10.9,5,90087,7,7,0,100.0,4,0,4,True,GOOD
Lom-Nava,COTONOU,2ème Arrondissement,6.377122,2.453587,1.4,5,90087,13,9,4,69.2,-6,0,8,False,PARTIAL
Espace-Saint,ABOMEY-CALAVI,Golo-Djigbé,6.564085,2.304495,10.8,2,90087,1,1,0,100.0,0,0,0,False,OSM_DATA_LIMIT
"Maria-Gléta
",ABOMEY-CALAVI,Godomey,6.422174,2.30741,11.8,3,90087,5,5,0,100.0,0,0,0,False,GOOD
Védokô,COTONOU,10ème Arrondissement,6.379254,2.385935,29.4,2,90087,7,6,3,85.7,0,0,0,False,PARTIAL
Kpondéhou-Tchèmè,COTONOU,2ème Arrondissement,6.382342,2.453445,9.5,4,90087,7,7,2,100.0,-3,0,2,False,PARTIAL
"Alédjo
",ABOMEY-CALAVI,Abomey-Calavi,6.443044,2.334257,6.8,4,90087,9,8,1,88.9,0,0,1,False,GOOD
